iter	Passed	Remaining
0	2	232
1	4	207
2	5	185
3	6	166
4	8	160
5	9	156
6	11	152
7	12	148
8	14	145
9	15	143
10	17	140
11	19	140
12	20	138
13	22	136
14	23	134
15	25	132
16	27	132
17	28	130
18	30	128
19	31	126
20	33	124
21	34	123
22	36	121
23	37	119
24	39	117
25	40	116
26	42	114
27	43	113
28	45	111
29	47	111
30	49	109
31	50	108
32	52	106
33	53	104
34	55	103
35	56	101
36	58	99
37	60	97
38	61	96
39	63	94
40	64	93
41	65	90
42	66	88
43	68	86
44	70	85
45	71	84
46	73	82
47	74	80
48	76	79
49	77	77
50	79	75
51	80	74
52	82	72
53	83	71
54	84	69
55	86	67
56	87	66
57	89	64
58	90	63
59	92	61
60	93	59
61	95	58
62	96	56
63	98	55
64	100	53
65	101	52
66	103	51
67	105	49
68	107	48
69	109	46
70	111	45
71	113	44
72	115	42
73	117	41
74	118	39
75	120	38
76	122	36
77	123	34
78	126	33
79	128	32
80	131	30
81	132	29
82	134	27
83	136	25
84	138	24
85	139	22
86	141	21
87	143	19
88	144	17
89	146	16
90	148	14
91	149	13
92	151	11
93	153	9
94	155	8
95	156	6
96	163	5
97	166	3
98	169	1
99	173	0
