iter	Passed	Remaining
0	130	130553
1	132	66111
2	143	47814
3	150	37452
4	152	30371
5	158	26216
6	164	23301
7	169	20992
8	175	19335
9	182	18025
10	190	17128
11	192	15836
12	194	14760
13	198	13984
14	203	13351
15	224	13778
16	228	13196
17	230	12572
18	246	12720
19	274	13468
20	279	13014
21	294	13111
22	297	12630
23	303	12323
24	305	11916
25	308	11570
26	310	11195
27	316	10995
28	321	10751
29	323	10469
30	325	10177
31	332	10058
32	335	9816
33	336	9568
34	338	9342
35	340	9114
36	349	9088
37	351	8894
38	352	8693
39	356	8552
40	357	8371
41	359	8197
42	361	8046
43	363	7889
44	364	7742
45	366	7597
46	368	7464
47	370	7346
48	372	7221
49	373	7096
50	375	6980
51	376	6864
52	377	6753
53	379	6646
54	380	6542
55	383	6462
56	385	6376
57	386	6284
58	388	6194
59	390	6112
60	391	6029
61	393	5948
62	394	5869
63	396	5792
64	399	5745
65	400	5674
66	402	5604
67	404	5539
68	405	5473
69	407	5408
70	408	5345
71	410	5286
72	411	5226
73	414	5186
74	415	5129
75	417	5076
76	419	5026
77	420	4975
78	422	4925
79	423	4874
80	425	4824
81	427	4785
82	428	4732
83	429	4688
84	431	4642
85	432	4599
86	434	4563
87	436	4522
88	437	4481
89	439	4440
90	440	4404
91	442	4369
92	444	4332
93	445	4295
94	447	4259
95	448	4226
96	450	4191
97	451	4156
98	452	4122
99	454	4089
100	456	4064
101	458	4036
102	460	4007
103	461	3978
104	463	3949
105	464	3919
106	466	3890
107	467	3861
108	469	3834
109	471	3812
110	472	3787
111	474	3761
112	475	3735
113	477	3712
114	479	3688
115	480	3664
116	482	3638
117	483	3614
118	485	3595
119	487	3572
120	488	3549
121	489	3524
122	491	3502
123	492	3482
124	494	3460
125	495	3439
126	497	3416
127	498	3395
128	500	3381
129	502	3361
130	503	3341
131	505	3321
132	506	3301
133	508	3283
134	509	3264
135	511	3246
136	512	3228
137	514	3211
138	515	3195
139	517	3177
140	518	3160
141	519	3140
142	521	3124
143	522	3107
144	524	3091
145	525	3075
146	527	3059
147	529	3047
148	530	3032
149	532	3017
150	533	3001
151	535	2987
152	536	2972
153	538	2957
154	539	2942
155	541	2927
156	542	2913
157	544	2903
158	546	2889
159	547	2875
160	548	2859
161	550	2847
162	551	2833
163	553	2820
164	554	2807
165	556	2793
166	557	2780
167	559	2769
168	560	2756
169	562	2744
170	563	2732
171	565	2722
172	566	2709
173	568	2697
174	569	2686
175	571	2674
176	573	2665
177	574	2654
178	576	2643
179	578	2633
180	579	2623
181	581	2612
182	582	2602
183	584	2591
184	585	2580
185	588	2573
186	589	2563
187	591	2553
188	592	2542
189	594	2533
190	595	2523
191	597	2513
192	598	2503
193	600	2493
194	602	2488
195	604	2479
196	605	2469
197	607	2459
198	608	2450
199	610	2441
200	611	2431
201	613	2422
202	614	2412
203	616	2404
204	618	2397
205	619	2388
206	621	2380
207	623	2372
208	624	2364
209	626	2355
210	627	2346
211	629	2338
212	631	2332
213	632	2324
214	634	2315
215	635	2307
216	637	2300
217	638	2291
218	640	2283
219	641	2274
220	643	2266
221	644	2258
222	646	2253
223	648	2245
224	649	2237
225	651	2229
226	652	2222
227	654	2214
228	655	2207
229	657	2199
230	658	2192
231	660	2185
232	662	2181
233	664	2174
234	665	2166
235	667	2159
236	668	2153
237	670	2146
238	671	2139
239	673	2132
240	675	2127
241	677	2121
242	678	2114
243	680	2108
244	681	2101
245	683	2095
246	685	2088
247	686	2081
248	687	2074
249	689	2068
250	691	2063
251	692	2056
252	694	2050
253	695	2043
254	697	2037
255	699	2031
256	700	2025
257	701	2018
258	704	2015
259	708	2016
260	713	2020
261	715	2014
262	716	2008
263	718	2002
264	723	2007
265	725	2002
266	727	1997
267	731	1996
268	733	1992
269	738	1996
270	741	1995
271	744	1991
272	747	1990
273	753	1995
274	756	1993
275	758	1988
276	760	1985
277	763	1983
278	772	1995
279	774	1990
280	775	1985
281	778	1982
282	785	1991
283	788	1987
284	790	1984
285	793	1982
286	800	1988
287	803	1985
288	804	1980
289	806	1974
290	812	1979
291	816	1980
292	819	1978
293	822	1975
294	824	1971
295	830	1975
296	832	1970
297	835	1967
298	837	1964
299	839	1959
300	848	1969
301	850	1966
302	852	1961
303	864	1979
304	867	1975
305	870	1973
306	873	1971
307	878	1974
308	880	1969
309	882	1964
310	886	1964
311	893	1971
312	896	1968
313	898	1962
314	917	1994
315	931	2016
316	935	2015
317	967	2074
318	984	2101
319	996	2117
320	998	2112
321	1015	2139
322	1025	2149
323	1028	2146
324	1030	2140
325	1042	2156
326	1046	2153
327	1048	2148
328	1054	2150
329	1057	2146
330	1060	2143
331	1067	2148
332	1070	2144
333	1075	2143
334	1077	2139
335	1082	2140
336	1086	2136
337	1088	2131
338	1092	2129
339	1095	2127
340	1097	2121
341	1099	2115
342	1101	2109
343	1103	2104
344	1105	2098
345	1107	2092
346	1110	2090
347	1117	2092
348	1119	2087
349	1121	2082
350	1125	2080
351	1129	2078
352	1132	2075
353	1134	2070
354	1136	2065
355	1138	2060
356	1142	2057
357	1144	2052
358	1147	2048
359	1148	2042
360	1150	2036
361	1152	2031
362	1157	2030
363	1160	2028
364	1163	2023
365	1165	2018
366	1167	2012
367	1170	2009
368	1172	2004
369	1173	1998
370	1175	1993
371	1177	1987
372	1178	1981
373	1180	1975
374	1182	1970
375	1184	1966
376	1186	1960
377	1190	1958
378	1192	1954
379	1195	1950
380	1196	1944
381	1198	1938
382	1200	1934
383	1202	1928
384	1204	1923
385	1205	1917
386	1207	1912
387	1208	1906
388	1210	1900
389	1211	1895
390	1213	1889
391	1215	1885
392	1217	1879
393	1218	1874
394	1220	1869
395	1221	1863
396	1223	1857
397	1224	1852
398	1226	1846
399	1227	1841
400	1229	1837
401	1231	1831
402	1232	1826
403	1234	1820
404	1235	1815
405	1237	1810
406	1238	1804
407	1240	1799
408	1241	1793
409	1242	1788
410	1245	1785
411	1247	1780
412	1248	1774
413	1250	1769
414	1252	1765
415	1253	1760
416	1255	1755
417	1256	1749
418	1259	1746
419	1260	1741
420	1262	1735
421	1263	1730
422	1265	1725
423	1266	1720
424	1268	1715
425	1269	1710
426	1270	1705
427	1273	1701
428	1275	1698
429	1277	1693
430	1279	1688
431	1280	1683
432	1281	1678
433	1283	1673
434	1284	1668
435	1286	1663
436	1289	1661
437	1291	1656
438	1293	1652
439	1295	1648
440	1296	1643
441	1298	1638
442	1299	1633
443	1300	1629
444	1302	1624
445	1304	1620
446	1305	1615
